CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
2447;7;0;
4385;371;0;
10064;514;0;
23985;753;0;
51863;1200;0;
80108;1720;0;
95785;2246;0;
134643;2688;0;
161473;2983;0;
177920;3461;0;
225713;3915;0;
281993;4192;0;
300965;4687;0;
311231;5261;0;
322060;5701;0;
359833;6182;0;
390326;6656;0;
425817;7025;0;
466275;7673;0;
498941;8253;0;
508345;8862;0;
508345;9654;0;
508345;10539;0;
508345;11402;0;
508345;12473;0;
508345;13414;0;
508345;14198;0;
508345;15025;0;
508345;15862;0;
508345;16538;0;
508345;17283;0;
508345;17900;0;
508345;18737;0;
508345;19644;0;
508345;20556;0;
508345;21723;0;
508345;22810;0;
508345;23898;0;
508345;24975;0;
508345;26189;0;
